seed,held_out_region,method,r2,rmse,n_query
0,Heartland,ridge,-0.9242854008618693,34.16974493484008,2741
0,Heartland,mlp,0.18268871991905355,22.269001313883518,2741
0,Heartland,ridge_support_only,0.15754953729710608,22.60888688600156,2741
0,Heartland,ridge_refit,-0.8825274611613296,33.79696130928178,2741
0,Heartland,mlp_finetune,0.25649737018499685,21.239693676398645,2741
0,Heartland,ccpa_no_climate,0.0076096338663387275,24.538514284187784,2741
0,Heartland,ccpa,0.26642634726847436,21.097396102500753,2741
0,Northern Crescent,ridge,0.008471763704205437,24.46562539290018,1386
0,Northern Crescent,mlp,-0.021369182370325923,24.831053946601596,1386
0,Northern Crescent,ridge_support_only,0.25091045156442293,21.26525757083254,1386
0,Northern Crescent,ridge_refit,0.02806894925214376,24.22264180348846,1386
0,Northern Crescent,mlp_finetune,0.03347854381629911,24.15513829621927,1386
0,Northern Crescent,ccpa_no_climate,0.1933230295626902,22.067524012504414,1386
0,Northern Crescent,ccpa,0.21927415432575426,21.709661749958006,1386
0,Southern Seaboard,ridge,-0.19892716305964409,36.65698466983426,1148
0,Southern Seaboard,mlp,-0.21212226297716463,36.858151601883186,1148
0,Southern Seaboard,ridge_support_only,-0.014034830963346678,33.712175134039505,1148
0,Southern Seaboard,ridge_refit,-0.16926499175985055,36.20068692023635,1148
0,Southern Seaboard,mlp_finetune,-0.16293988134319748,36.10264077998921,1148
0,Southern Seaboard,ccpa_no_climate,-0.008676390220985208,33.62298491887636,1148
0,Southern Seaboard,ccpa,0.024083184181551642,33.07247818642286,1148
0,Prairie Gateway,ridge,-0.05007862882394143,48.62745110892274,992
0,Prairie Gateway,mlp,0.09288398071328163,45.1962096167132,992
0,Prairie Gateway,ridge_support_only,0.17377552238497962,43.133989130682416,992
0,Prairie Gateway,ridge_refit,-0.031869297056968726,48.203984834191736,992
0,Prairie Gateway,mlp_finetune,0.22347193460805503,41.81664388316487,992
0,Prairie Gateway,ccpa_no_climate,0.1845262866480495,42.852442324355344,992
0,Prairie Gateway,ccpa,0.25742474552307104,40.892233530707934,992
0,Eastern Uplands,ridge,0.12141355076426086,26.11312207983772,898
0,Eastern Uplands,mlp,0.1294407261136412,25.993557525887567,898
0,Eastern Uplands,ridge_support_only,0.09111482226214274,26.559571204266042,898
0,Eastern Uplands,ridge_refit,0.122620965920343,26.09517266841641,898
0,Eastern Uplands,mlp_finetune,0.15263779914871245,25.64490486399839,898
0,Eastern Uplands,ccpa_no_climate,0.08640180999407854,26.62834431954335,898
0,Eastern Uplands,ccpa,0.17780316925068773,25.261227376023907,898
0,Mississippi Portal,ridge,-1.2339493453797,32.83566093265695,559
0,Mississippi Portal,mlp,-1.0531572540206016,31.478947891434746,559
0,Mississippi Portal,ridge_support_only,-0.03576470035967372,22.358345074346666,559
0,Mississippi Portal,ridge_refit,-1.166830069009213,32.33862338449671,559
0,Mississippi Portal,mlp_finetune,-0.4504823549968522,26.458506548038603,559
0,Mississippi Portal,ccpa_no_climate,-0.3038306089070202,25.08532245417604,559
0,Mississippi Portal,ccpa,-0.19317079381842905,23.997191038596142,559
0,Northern Great Plains,ridge,-1.2385604865143462,60.75417722314622,498
0,Northern Great Plains,mlp,-0.4466492274165259,48.83974037291657,498
0,Northern Great Plains,ridge_support_only,-0.6210268841132511,51.699558654700674,498
0,Northern Great Plains,ridge_refit,-1.072610776069288,58.4588951110345,498
0,Northern Great Plains,mlp_finetune,-0.10665138820993736,42.716645781924484,498
0,Northern Great Plains,ccpa_no_climate,-0.22411151535176677,44.926461974061205,498
0,Northern Great Plains,ccpa,0.050708454227463395,39.563211111369576,498
0,Fruitful Rim,ridge,-2.9663162522256226,107.1644767746091,204
0,Fruitful Rim,mlp,-1.1025200225994478,78.02382700695902,204
0,Fruitful Rim,ridge_support_only,0.7708109327504249,25.760490417953438,204
