seed,held_out_region,method,r2,rmse,n_query
0,Heartland,ridge,-1.799538319070555,41.21451586120377,2741
0,Heartland,mlp,-0.8478656101084032,33.484374147274586,2741
0,Heartland,ridge_support_only,0.07824162173676774,23.64915029743808,2741
0,Heartland,ridge_refit,-1.771163460082939,41.005118038217205,2741
0,Heartland,mlp_finetune,-0.2366986450059807,27.392958335695575,2741
0,Heartland,ccpa_no_climate,-0.9372432317305837,34.284598712790505,2741
0,Heartland,ccpa,-0.8363476519858395,33.3798550520397,2741
0,Northern Crescent,ridge,-0.6396002896559423,31.461018037895627,1386
0,Northern Crescent,mlp,-0.22399895524010982,27.18280703025941,1386
0,Northern Crescent,ridge_support_only,0.007181871272286533,24.481534051366623,1386
0,Northern Crescent,ridge_refit,-0.6200534083886531,31.272920774962934,1386
0,Northern Crescent,mlp_finetune,-0.04694136435907126,25.13998174750188,1386
0,Northern Crescent,ccpa_no_climate,-0.06608977652213999,25.3688434145808,1386
0,Northern Crescent,ccpa,-0.13367218629735822,26.1605893968052,1386
0,Southern Seaboard,ridge,-0.3943323476111371,39.53151781694639,1148
0,Southern Seaboard,mlp,-0.6844055333521659,43.449388410853366,1148
0,Southern Seaboard,ridge_support_only,-0.060883971395401915,34.48214564937072,1148
0,Southern Seaboard,ridge_refit,-0.3830164589630105,39.37077939750931,1148
0,Southern Seaboard,mlp_finetune,-0.3466072972278609,38.84908726796481,1148
0,Southern Seaboard,ccpa_no_climate,-0.47263913747576836,40.62641562091826,1148
0,Southern Seaboard,ccpa,-0.566219995289621,41.89736594748958,1148
0,Prairie Gateway,ridge,-0.12567007720280743,50.34729669018235,992
0,Prairie Gateway,mlp,0.030508002967876813,46.724289935888905,992
0,Prairie Gateway,ridge_support_only,0.12736800184863595,44.32881918894,992
0,Prairie Gateway,ridge_refit,-0.12071751237144324,50.23641912364259,992
0,Prairie Gateway,mlp_finetune,0.09466747662194774,45.15175724621265,992
0,Prairie Gateway,ccpa_no_climate,0.040410591851050115,46.485051750045045,992
0,Prairie Gateway,ccpa,0.04117438309092303,46.46654803225406,992
0,Eastern Uplands,ridge,-0.14313976998449673,29.786276443423514,898
0,Eastern Uplands,mlp,-0.2708925900771948,31.40660355899206,898
0,Eastern Uplands,ridge_support_only,-0.050302690939118655,28.55116197338964,898
0,Eastern Uplands,ridge_refit,-0.14041713459327965,29.75078405755595,898
0,Eastern Uplands,mlp_finetune,-0.16033604661822465,30.009477975256107,898
0,Eastern Uplands,ccpa_no_climate,-0.09161436578547644,29.107249592646372,898
0,Eastern Uplands,ccpa,-0.09034045608421315,29.090260611386764,898
0,Mississippi Portal,ridge,-1.5884514015167537,35.34509143552069,559
0,Mississippi Portal,mlp,-2.7505048591742494,42.54553292498611,559
0,Mississippi Portal,ridge_support_only,-0.03520209945687536,22.35227200885812,559
0,Mississippi Portal,ridge_refit,-1.5375886374124899,34.99610511027775,559
0,Mississippi Portal,mlp_finetune,-0.5456995408953689,27.313140624292977,559
0,Mississippi Portal,ccpa_no_climate,-1.3935199757885628,33.98815811408803,559
0,Mississippi Portal,ccpa,-0.7041556980694892,28.67898238835549,559
0,Northern Great Plains,ridge,-0.9467315807402608,56.65585057776877,498
0,Northern Great Plains,mlp,-0.0031353214957730025,40.669748638079405,498
0,Northern Great Plains,ridge_support_only,0.09491589968243952,38.63102173255293,498
0,Northern Great Plains,ridge_refit,-0.9085250325052197,56.0971318629532,498
0,Northern Great Plains,mlp_finetune,0.16265862987751178,37.15720181249838,498
0,Northern Great Plains,ccpa_no_climate,-0.7186989637178327,53.23431063113801,498
0,Northern Great Plains,ccpa,-0.09849430752651878,42.55892330619767,498
0,Fruitful Rim,ridge,-0.4769545314262469,65.39442732898944,204
0,Fruitful Rim,mlp,-0.5110419587539052,66.14475926131064,204
0,Fruitful Rim,ridge_support_only,0.7571259556320215,26.5184252405276,204
0,Fruitful Rim,ridge_refit,-0.370940690192195,63.00376623789229,204
0,Fruitful Rim,mlp_finetune,0.44184051346133446,40.200951593642735,204
0,Fruitful Rim,ccpa_no_climate,-0.2381641829238228,59.87510617102824,204
0,Fruitful Rim,ccpa,-0.12473180883406143,57.06655646921989,204
