seed,held_out_region,method,r2,rmse,n_query
0,Southern Seaboard,ridge,-0.1221148768246036,32.992103259451355,2649
0,Southern Seaboard,mlp,-0.3068152109648423,35.60397055629979,2649
0,Southern Seaboard,ridge_support_only,0.0004829867919522446,31.137693412116146,2649
0,Southern Seaboard,ridge_refit,-0.11567029391410877,32.89722593813095,2649
0,Southern Seaboard,mlp_finetune,-0.2942895572295927,35.43293000688507,2649
0,Southern Seaboard,ccpa_no_climate,-0.544819234428457,38.710624429462335,2649
0,Southern Seaboard,ccpa,-0.4423179206616157,37.40432678420963,2649
0,Northern Crescent,ridge,0.2130071444751394,23.520744726248388,2522
0,Northern Crescent,mlp,0.1996164564312441,23.72000350863346,2522
0,Northern Crescent,ridge_support_only,0.032613523872051964,26.077483511270295,2522
0,Northern Crescent,ridge_refit,0.23379055126949178,23.20809135089553,2522
0,Northern Crescent,mlp_finetune,0.1243939949406514,24.809615823811978,2522
0,Northern Crescent,ccpa_no_climate,0.173298519540498,24.106825892797673,2522
0,Northern Crescent,ccpa,0.1594108314542057,24.308466844661805,2522
0,Heartland,ridge,-0.0560116819061098,30.63714013201601,1445
0,Heartland,mlp,0.3603575046098896,23.84418683719066,1445
0,Heartland,ridge_support_only,0.34900554217988544,24.0548419290605,1445
0,Heartland,ridge_refit,-0.045575230042296244,30.485372415617995,1445
0,Heartland,mlp_finetune,0.3974063105135421,23.143346169373228,1445
0,Heartland,ccpa_no_climate,-0.0351993390057812,30.33373265140709,1445
0,Heartland,ccpa,0.3655431584299089,23.747336387969096,1445
0,Northern Great Plains,ridge,-0.516054140828341,54.98433490654692,1394
0,Northern Great Plains,mlp,-0.3442677708407955,51.77552531142647,1394
0,Northern Great Plains,ridge_support_only,-0.903629999236589,61.61307593555616,1394
0,Northern Great Plains,ridge_refit,-0.44441872575009755,53.66957741413856,1394
0,Northern Great Plains,mlp_finetune,0.1964653247209563,40.02984717746034,1394
0,Northern Great Plains,ccpa_no_climate,-0.1733117549445568,48.37136372590518,1394
0,Northern Great Plains,ccpa,0.0911030359078142,42.57345998099996,1394
0,Prairie Gateway,ridge,-0.6989891380656359,57.71278936942536,422
0,Prairie Gateway,mlp,-0.6228025034656242,56.403960324056946,422
0,Prairie Gateway,ridge_support_only,0.2959755508963996,37.151010812402504,422
0,Prairie Gateway,ridge_refit,-0.5924181181398978,55.87342820704731,422
0,Prairie Gateway,mlp_finetune,0.1989753632753869,39.62777612065652,422
0,Prairie Gateway,ccpa_no_climate,0.0058843573100701,44.14639224497492,422
0,Prairie Gateway,ccpa,0.0122870135520705,44.00399897318248,422
0,Basin and Range,ridge,-27.518322352991216,150.4847535842175,67
0,Basin and Range,mlp,-10.487610166213557,95.50923340576512,67
0,Basin and Range,ridge_support_only,0.092058877508152,26.85093157940788,67
0,Basin and Range,ridge_refit,-13.827537196015506,108.50881625437911,67
0,Basin and Range,mlp_finetune,-1.4194996952183865,43.832203171868414,67
0,Basin and Range,ccpa_no_climate,-0.8693127074251314,38.527558961897725,67
0,Basin and Range,ccpa,-0.6216661116249687,35.884858265101485,67
1,Southern Seaboard,ridge,-0.1260814629339981,32.98110089948522,2649
1,Southern Seaboard,mlp,-0.4743685399087307,37.738381558808406,2649
1,Southern Seaboard,ridge_support_only,-0.32021433317677794,35.71103728924689,2649
1,Southern Seaboard,ridge_refit,-0.11673792582715126,32.84398735696154,2649
1,Southern Seaboard,mlp_finetune,-0.4669070329095659,37.64276694226782,2649
1,Southern Seaboard,ccpa_no_climate,-0.6824019003694748,40.31300000618808,2649
1,Southern Seaboard,ccpa,-0.4299712590231168,37.16583528593092,2649
1,Northern Crescent,ridge,0.2117894550918385,23.50750016696173,2522
1,Northern Crescent,mlp,0.234802412788598,23.16179020295014,2522
1,Northern Crescent,ridge_support_only,-0.05416777838441389,27.18567973094797,2522
1,Northern Crescent,ridge_refit,0.22170707967232917,23.35914096440692,2522
