seed,held_out_region,method,support_size,alpha
0,Southern Seaboard,ridge_support_only,8,10000.0
0,Southern Seaboard,ridge_refit,8,1.7782794100389228
0,Southern Seaboard,ridge_support_only,16,10000.0
0,Southern Seaboard,ridge_refit,16,1.7782794100389228
0,Southern Seaboard,ridge_support_only,32,316.22776601683796
0,Southern Seaboard,ridge_refit,32,1.7782794100389228
0,Southern Seaboard,ridge_support_only,64,177.82794100389228
0,Southern Seaboard,ridge_refit,64,1.7782794100389228
0,Northern Crescent,ridge_support_only,8,177.82794100389228
0,Northern Crescent,ridge_refit,8,1.7782794100389228
0,Northern Crescent,ridge_support_only,16,17.78279410038923
0,Northern Crescent,ridge_refit,16,1.7782794100389228
0,Northern Crescent,ridge_support_only,32,31.622776601683793
0,Northern Crescent,ridge_refit,32,1.7782794100389228
0,Northern Crescent,ridge_support_only,64,17.78279410038923
0,Northern Crescent,ridge_refit,64,1.0
0,Heartland,ridge_support_only,8,3.1622776601683795
0,Heartland,ridge_refit,8,1.7782794100389228
0,Heartland,ridge_support_only,16,0.01
0,Heartland,ridge_refit,16,1.7782794100389228
0,Heartland,ridge_support_only,32,3.1622776601683795
0,Heartland,ridge_refit,32,1.7782794100389228
0,Heartland,ridge_support_only,64,10.0
0,Heartland,ridge_refit,64,1.7782794100389228
0,Northern Great Plains,ridge_support_only,8,10000.0
0,Northern Great Plains,ridge_refit,8,1.7782794100389228
0,Northern Great Plains,ridge_support_only,16,10000.0
0,Northern Great Plains,ridge_refit,16,1.7782794100389228
0,Northern Great Plains,ridge_support_only,32,0.01778279410038923
0,Northern Great Plains,ridge_refit,32,1.7782794100389228
0,Northern Great Plains,ridge_support_only,64,1.7782794100389228
0,Northern Great Plains,ridge_refit,64,1.7782794100389228
0,Prairie Gateway,ridge_support_only,8,31.622776601683793
0,Prairie Gateway,ridge_refit,8,3.1622776601683795
0,Prairie Gateway,ridge_support_only,16,31.622776601683793
0,Prairie Gateway,ridge_refit,16,3.1622776601683795
0,Prairie Gateway,ridge_support_only,32,31.622776601683793
0,Prairie Gateway,ridge_refit,32,3.1622776601683795
0,Prairie Gateway,ridge_support_only,64,31.622776601683793
0,Prairie Gateway,ridge_refit,64,3.1622776601683795
0,Basin and Range,ridge_support_only,8,56.23413251903491
0,Basin and Range,ridge_refit,8,1.0
0,Basin and Range,ridge_support_only,16,1.7782794100389228
0,Basin and Range,ridge_refit,16,1.0
0,Basin and Range,ridge_support_only,32,5.623413251903491
0,Basin and Range,ridge_refit,32,1.7782794100389228
0,Basin and Range,ridge_support_only,64,10.0
0,Basin and Range,ridge_refit,64,1.7782794100389228
1,Southern Seaboard,ridge_support_only,8,31.622776601683793
1,Southern Seaboard,ridge_refit,8,1.7782794100389228
1,Southern Seaboard,ridge_support_only,16,1.7782794100389228
1,Southern Seaboard,ridge_refit,16,1.7782794100389228
1,Southern Seaboard,ridge_support_only,32,5.623413251903491
1,Southern Seaboard,ridge_refit,32,1.7782794100389228
1,Southern Seaboard,ridge_support_only,64,0.1778279410038923
1,Southern Seaboard,ridge_refit,64,1.7782794100389228
1,Northern Crescent,ridge_support_only,8,3.1622776601683795
1,Northern Crescent,ridge_refit,8,1.0
1,Northern Crescent,ridge_support_only,16,17.78279410038923
1,Northern Crescent,ridge_refit,16,1.0
1,Northern Crescent,ridge_support_only,32,1.0
1,Northern Crescent,ridge_refit,32,1.7782794100389228
1,Northern Crescent,ridge_support_only,64,31.622776601683793
1,Northern Crescent,ridge_refit,64,1.7782794100389228
1,Heartland,ridge_support_only,8,10000.0
1,Heartland,ridge_refit,8,1.7782794100389228
1,Heartland,ridge_support_only,16,0.5623413251903491
1,Heartland,ridge_refit,16,1.7782794100389228
1,Heartland,ridge_support_only,32,5.623413251903491
1,Heartland,ridge_refit,32,1.7782794100389228
1,Heartland,ridge_support_only,64,10.0
1,Heartland,ridge_refit,64,1.7782794100389228
1,Northern Great Plains,ridge_support_only,8,17.78279410038923
1,Northern Great Plains,ridge_refit,8,1.7782794100389228
1,Northern Great Plains,ridge_support_only,16,10000.0
1,Northern Great Plains,ridge_refit,16,1.7782794100389228
1,Northern Great Plains,ridge_support_only,32,100.0
1,Northern Great Plains,ridge_refit,32,1.7782794100389228
1,Northern Great Plains,ridge_support_only,64,3.1622776601683795
1,Northern Great Plains,ridge_refit,64,1.7782794100389228
1,Prairie Gateway,ridge_support_only,8,0.01
1,Prairie Gateway,ridge_refit,8,3.1622776601683795
1,Prairie Gateway,ridge_support_only,16,0.01
1,Prairie Gateway,ridge_refit,16,3.1622776601683795
1,Prairie Gateway,ridge_support_only,32,177.82794100389228
1,Prairie Gateway,ridge_refit,32,3.1622776601683795
1,Prairie Gateway,ridge_support_only,64,31.622776601683793
1,Prairie Gateway,ridge_refit,64,3.1622776601683795
1,Basin and Range,ridge_support_only,8,562.341325190349
